,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,,Country
219,D Ramdin,2005-2016,74,126,14,2898,166,25.87,4,15,9,,WI
220,Wasim Akram,1985-2002,104,147,19,2898,257*,22.64,3,7,17,,PAK
221,RA Jadeja,2012-2024,69,101,21,2893,175*,36.16,3,20,7,,IND
222,SL Campbell,1995-2002,52,93,4,2882,208,32.38,4,18,7,,WI
223,AC Parore,1990-2002,78,128,19,2865,110,26.28,2,14,6,,NZ
224,WW Armstrong,1902-1921,50,84,10,2863,159*,38.68,6,8,6,,AUS
225,KL Rahul,2014-2024,50,86,2,2863,199,34.08,8,14,7,,IND
226,ADR Campbell,1992-2002,60,109,4,2858,103,27.21,2,18,10,,ZIM
227,GR Marsh,1985-1992,50,93,7,2854,138,33.18,4,15,3,,AUS
228,Ramiz Raja,1984-1997,57,94,5,2833,122,31.83,2,22,7,,PAK
229,Aamer Sohail,1992-2000,47,83,3,2823,205,35.28,5,13,6,,PAK
230,Wasim Raja,1973-1985,57,92,14,2821,125,36.16,4,18,8,,PAK
231,KR Stackpole,1966-1974,43,80,5,2807,207,37.42,7,14,5,,AUS
232,JO Holder,2014-2023,64,113,18,2797,202*,29.44,3,12,9,,WI
233,MAK Pataudi,1961-1975,46,83,3,2793,203*,34.91,6,16,7,,IND
234,KC Wessels,1982-1994,40,71,3,2788,179,41.00,6,15,5,,AUS/SA
235,NCL O'Neill,1958-1965,42,69,8,2779,181,45.55,6,15,6,,AUS
236,MH Richardson,2000-2004,38,65,3,2776,145,44.77,4,19,1,,NZ
237,M Leyland,1928-1938,41,65,5,2764,187,46.06,9,10,6,,ENG
238,SMH Kirmani,1976-1986,88,124,22,2759,102,27.04,2,12,7,,IND
239,N Dickwella,2014-2023,54,96,7,2757,96,30.97,0,22,4,,SL
240,GN Yallop,1976-1984,39,70,3,2756,268,41.13,8,9,3,,AUS
241,SJ McCabe,1930-1938,39,62,5,2748,232,48.21,6,13,4,,AUS
242,Moin Khan,1990-2004,69,104,8,2741,137,28.55,4,15,5,,PAK
243,Mohammad Ashraful,2001-2013,61,119,5,2737,190,24.00,6,8,16,,BAN
244,B Sutcliffe,1947-1965,42,76,8,2727,230*,40.10,5,15,5,,NZ
245,Mohsin Khan,1978-1986,48,79,6,2709,200,37.10,7,9,3,,PAK
246,Shoaib Mohammad,1983-1995,45,68,7,2705,203*,44.34,7,13,6,,PAK
247,MG Burgess,1968-1980,50,92,6,2684,119*,31.20,5,14,5,,NZ
